HAT_KODU,DURAK_ID,BINIS_SAYISI
00735,50682,2
00735,50684,4
00735,50690,1
00735,50692,2
00735,50694,8
00735,50696,3
00735,50697,1
00735,50698,3
00735,50890,90
00735,99999,104
00744,21825,20
00744,21826,3
00744,21834,1
00744,21835,4
00744,21836,15
00744,21840,2
00744,21846,3
00744,21848,1
00744,21852,14
00744,21853,10
00744,21854,42
00744,21855,6
00744,21856,3
00744,21857,5
00744,21858,24
00744,21859,2
00744,21860,1
00744,21862,1
00744,21882,84
00744,21884,6
00744,21886,25
00744,21888,15
00744,21891,422
00744,22237,668
00744,99999,37
00745,21444,1
00745,21927,3
00745,21942,3
00745,21944,10
00745,21946,2
00745,21950,4
00745,21952,8
00745,21954,8
00745,21956,8
00745,21958,7
00745,21962,19
00745,21964,16
00745,21966,10
00745,21967,136
00745,21971,7
00745,21977,1
00745,21981,3
00745,21983,4
00745,22244,366
00745,22400,4
00745,22402,1
00745,22403,2
00745,22404,1
00745,22405,10
00745,22407,3
00745,99999,105
00753,21838,1
00753,21924,2
00753,21929,2
00753,21933,1
00753,21983,1
00753,22244,4
00753,22297,2
00753,99999,13
00765,30014,809
00765,30333,2
00765,30335,14
00765,30336,6
00765,30338,8
00765,30339,9
00765,30341,8
00765,30343,4
00765,30344,1
00765,30345,1
00765,30348,2
00765,30351,1
00765,30735,1
00765,30736,2
00765,30737,2
00765,30738,10
00765,30739,5
00765,30740,19
00765,30742,2
00765,30743,1
00765,30744,5
00765,30746,8
00765,30748,2
00765,30749,1
00765,30750,1
00765,30753,1
00765,30754,20
00765,30756,2
00765,30758,70
00765,30760,125
00765,30761,1
00765,30762,106
00765,30764,55
00765,30766,8
00765,30767,89
00765,30768,29
00765,30771,185
00765,30903,1
00765,30904,3
00765,31271,15
00765,31279,26
00765,31281,26
00765,31282,10
00765,99999,258
00766,30741,1
00766,30758,2
00766,30760,6
00766,30762,5
00766,30764,5
00766,30767,4
00766,30768,1
00766,30771,3
00766,30914,2
00766,30920,1
00766,30927,3
00766,30930,4
00766,31736,5
00766,99999,4
00770,10863,36
00770,10869,4
00770,10902,2
00770,10906,1
00770,10936,2
00770,10938,1
00770,10941,36
00770,99999,4
00775,10711,4
00775,10712,16
00775,10714,20
00775,10947,1
00775,10948,1
00775,10949,1
00775,10951,6
00775,10962,2
00775,10974,2
00775,10980,1
00775,10982,7
00775,10983,1
00775,10984,2
00775,10986,12
00775,10987,1
00775,10988,1
00775,10990,3
00775,10993,1
00775,10994,9
00775,10996,9
00775,11000,2
00775,11002,3
00775,11006,2
00775,11008,9
00775,11012,3
00775,11014,2
00775,11018,8
00775,11020,2
00775,11022,10
00775,11024,14
00775,11026,62
00775,11028,24
00775,11030,3
00775,11031,7
00775,11032,13
00775,11034,20
00775,11037,2
00775,11038,2
00775,11040,27
00775,11042,25
00775,11044,19
00775,11046,47
00775,11094,1
00775,11098,9
00775,11124,3
00775,11126,3
00775,11142,1
00775,11162,4
00775,11233,1
00775,11250,8
00775,11252,23
00775,11253,14
00775,11254,11
00775,11255,1
00775,11258,5
00775,11259,2
00775,11260,11
00775,11824,4
00775,11826,4
00775,11827,1
00775,11828,3
00775,11831,1
00775,11834,5
00775,11836,14
00775,11838,17
00775,11841,34
00775,13276,353
00775,99999,39
00776,10711,1
00776,10712,24
00776,10714,12
00776,10715,1
00776,10948,1
00776,10949,2
00776,10950,1
00776,10951,10
00776,10957,2
00776,10964,2
00776,10965,1
00776,11048,18
00776,11050,10
00776,11053,1
00776,11054,22
00776,11056,6
00776,11060,6
00776,11062,1
00776,11063,1
00776,11064,8
00776,11065,2
00776,11066,20
00776,11068,23
00776,11070,83
00776,11074,15
00776,11075,5
00776,11076,8
00776,11077,1
00776,11078,18
00776,11080,17
00776,11084,11
00776,11086,3
00776,11087,1
00776,11088,6
00776,11090,1
00776,11092,3
00776,11101,10
00776,11105,1
00776,11109,1
00776,11114,2
00776,11118,1
00776,11120,1
00776,11130,2
00776,11134,2
00776,11136,43
00776,11137,4
00776,11138,1
00776,11139,1
00776,11146,6
00776,11148,5
00776,11150,4
00776,11151,1
00776,11152,54
00776,11153,11
00776,11154,13
00776,11155,2
00776,11156,19
00776,11157,3
00776,11250,13
00776,11252,30
00776,11253,21
00776,11254,13
00776,11255,3
00776,11258,6
00776,11259,1
00776,11260,3
00776,11265,1
00776,13276,364
00776,99999,97
00777,20014,99
00777,20153,69
00777,20155,2
00777,20157,2
00777,20158,4
00777,20159,3
00777,20161,42
00777,20162,3
00777,20166,1
00777,20183,2
00777,20184,2
00777,20185,3
00777,20186,1
00777,20192,29
00777,20194,2
00777,20197,4
00777,20326,4
00777,20327,1
00777,20328,13
00777,20329,2
00777,20334,15
00777,20335,3
00777,20336,1
00777,20337,5
00777,20338,14
00777,20339,9
